Date,Open,High,Low,Close,Volume
08/07/2024,"23,500 VND","23,500 VND","23,100 VND","23,450 VND","7,543,600"
09/07/2024,"23,300 VND","23,500 VND","23,250 VND","23,350 VND","11,389,200"
10/07/2024,"23,400 VND","23,450 VND","23,100 VND","23,150 VND","10,290,600"
11/07/2024,"23,150 VND","23,350 VND","22,800 VND","22,800 VND","15,569,800"
12/07/2024,"22,850 VND","23,000 VND","22,800 VND","22,800 VND","6,743,800"
15/07/2024,"22,850 VND","22,900 VND","22,600 VND","22,650 VND","6,070,600"
16/07/2024,"22,650 VND","22,850 VND","22,550 VND","22,700 VND","12,585,900"
17/07/2024,"22,850 VND","24,200 VND","22,800 VND","23,700 VND","30,471,410"
18/07/2024,"23,700 VND","23,850 VND","23,300 VND","23,700 VND","14,816,300"
19/07/2024,"23,750 VND","23,750 VND","23,100 VND","23,400 VND","14,242,100"
22/07/2024,"23,300 VND","23,800 VND","23,000 VND","23,650 VND","14,972,100"
23/07/2024,"23,800 VND","23,800 VND","23,000 VND","23,050 VND","14,771,200"
24/07/2024,"22,850 VND","23,200 VND","22,850 VND","23,000 VND","11,077,000"
25/07/2024,"22,850 VND","22,900 VND","22,550 VND","22,750 VND","10,033,700"
26/07/2024,"22,700 VND","22,850 VND","22,600 VND","22,750 VND","6,956,500"
29/07/2024,"22,850 VND","22,950 VND","22,750 VND","22,750 VND","6,236,701"
30/07/2024,"22,700 VND","22,950 VND","22,600 VND","22,950 VND","7,473,500"
31/07/2024,"23,000 VND","23,350 VND","22,950 VND","23,250 VND","15,112,900"
01/08/2024,"23,200 VND","23,250 VND","22,550 VND","23,000 VND","15,387,400"
02/08/2024,"22,550 VND","23,500 VND","22,550 VND","23,500 VND","14,275,300"
05/08/2024,"23,000 VND","23,000 VND","22,300 VND","22,300 VND","16,860,500"
06/08/2024,"22,400 VND","22,600 VND","22,050 VND","22,300 VND","25,516,500"
07/08/2024,"22,400 VND","22,400 VND","21,750 VND","21,800 VND","21,275,700"
08/08/2024,"21,600 VND","21,650 VND","20,750 VND","20,850 VND","41,503,400"
09/08/2024,"21,000 VND","21,300 VND","21,000 VND","21,100 VND","15,115,100"
12/08/2024,"21,200 VND","21,250 VND","21,000 VND","21,250 VND","10,900,200"
13/08/2024,"21,200 VND","21,200 VND","20,900 VND","21,000 VND","12,411,700"
14/08/2024,"21,050 VND","21,300 VND","20,900 VND","21,200 VND","21,044,400"
15/08/2024,"21,200 VND","21,200 VND","20,950 VND","21,150 VND","10,972,200"
16/08/2024,"21,150 VND","21,550 VND","21,050 VND","21,450 VND","23,458,600"
19/08/2024,"21,550 VND","21,950 VND","21,400 VND","21,900 VND","15,738,900"
20/08/2024,"21,950 VND","22,050 VND","21,800 VND","21,850 VND","12,809,000"
21/08/2024,"21,700 VND","22,100 VND","21,550 VND","22,000 VND","24,738,300"
22/08/2024,"22,000 VND","22,650 VND","22,000 VND","22,350 VND","28,967,900"
23/08/2024,"22,350 VND","22,500 VND","22,200 VND","22,400 VND","27,522,100"
26/08/2024,"22,500 VND","22,650 VND","22,400 VND","22,500 VND","22,585,600"
28/08/2024,"22,700 VND","23,150 VND","22,600 VND","23,000 VND","24,136,000"
29/08/2024,"23,000 VND","23,250 VND","23,000 VND","23,000 VND","16,888,300"
30/08/2024,"23,000 VND","23,350 VND","23,000 VND","23,350 VND","13,445,500"
04/09/2024,"23,050 VND","23,250 VND","22,850 VND","23,000 VND","13,719,600"
05/09/2024,"22,900 VND","23,050 VND","22,700 VND","22,800 VND","13,972,600"
06/09/2024,"22,800 VND","22,950 VND","22,650 VND","22,800 VND","13,500,400"
09/09/2024,"22,700 VND","22,850 VND","22,600 VND","22,650 VND","17,151,500"
10/09/2024,"22,700 VND","22,750 VND","22,200 VND","22,250 VND","15,470,100"
