Date,Open,High,Low,Close,Volume
07/03/2019,"12,638 VND","12,709 VND","12,568 VND","12,568 VND","2,856,820"
08/03/2019,"12,474 VND","12,521 VND","12,333 VND","12,333 VND","5,785,180"
11/03/2019,"12,450 VND","12,450 VND","12,333 VND","12,356 VND","1,789,740"
12/03/2019,"12,497 VND","12,591 VND","12,333 VND","12,591 VND","11,569,020"
13/03/2019,"12,638 VND","12,944 VND","12,638 VND","12,756 VND","15,403,200"
14/03/2019,"12,779 VND","12,803 VND","12,638 VND","12,638 VND","11,862,080"
15/03/2019,"12,638 VND","12,779 VND","12,568 VND","12,615 VND","3,500,200"
18/03/2019,"12,662 VND","12,803 VND","12,591 VND","12,709 VND","22,161,540"
19/03/2019,"12,709 VND","12,779 VND","12,544 VND","12,568 VND","5,157,200"
20/03/2019,"12,568 VND","12,568 VND","12,403 VND","12,497 VND","41,899,640"
21/03/2019,"12,568 VND","12,568 VND","12,262 VND","12,262 VND","5,716,760"
22/03/2019,"12,286 VND","12,356 VND","12,192 VND","12,262 VND","6,429,840"
25/03/2019,"11,980 VND","12,168 VND","11,957 VND","12,027 VND","12,535,302"
26/03/2019,"12,027 VND","12,168 VND","11,933 VND","11,980 VND","4,419,620"
27/03/2019,"12,074 VND","12,121 VND","11,957 VND","12,098 VND","6,853,820"
28/03/2019,"12,051 VND","12,121 VND","12,004 VND","12,004 VND","1,697,640"
29/03/2019,"12,004 VND","12,121 VND","12,004 VND","12,027 VND","11,484,720"
01/04/2019,"12,074 VND","12,074 VND","11,980 VND","12,004 VND","2,426,000"
02/04/2019,"12,074 VND","12,145 VND","11,957 VND","11,980 VND","2,395,120"
03/04/2019,"11,980 VND","12,027 VND","11,933 VND","11,957 VND","1,766,160"
04/04/2019,"11,980 VND","12,004 VND","11,886 VND","11,957 VND","2,209,740"
05/04/2019,"11,980 VND","11,980 VND","11,933 VND","11,933 VND","1,580,760"
08/04/2019,"11,933 VND","11,933 VND","11,792 VND","11,863 VND","3,378,440"
09/04/2019,"11,933 VND","12,051 VND","11,863 VND","11,910 VND","3,053,060"
10/04/2019,"11,886 VND","11,980 VND","11,745 VND","11,792 VND","8,683,980"
11/04/2019,"11,769 VND","11,839 VND","11,745 VND","11,792 VND","1,674,040"
12/04/2019,"11,745 VND","11,792 VND","11,675 VND","11,698 VND","2,637,160"
16/04/2019,"11,581 VND","11,628 VND","11,464 VND","11,534 VND","5,321,160"
17/04/2019,"11,628 VND","11,769 VND","11,581 VND","11,628 VND","2,044,200"
18/04/2019,"11,628 VND","11,652 VND","11,393 VND","11,393 VND","3,059,900"
19/04/2019,"11,511 VND","11,511 VND","11,370 VND","11,370 VND","2,292,060"
22/04/2019,"11,370 VND","11,417 VND","11,111 VND","11,158 VND","3,088,580"
23/04/2019,"11,088 VND","11,205 VND","11,064 VND","11,088 VND","4,040,270"
24/04/2019,"11,135 VND","11,440 VND","11,135 VND","11,440 VND","4,035,460"
25/04/2019,"11,464 VND","11,464 VND","11,346 VND","11,346 VND","13,118,080"
26/04/2019,"11,299 VND","11,370 VND","11,276 VND","11,346 VND","1,886,460"
02/05/2019,"11,323 VND","11,370 VND","11,182 VND","11,205 VND","10,695,424"
03/05/2019,"11,205 VND","11,276 VND","11,111 VND","11,276 VND","3,521,420"
06/05/2019,"11,111 VND","11,229 VND","10,853 VND","10,947 VND","10,967,560"
07/05/2019,"11,135 VND","11,135 VND","10,853 VND","10,900 VND","2,589,480"
08/05/2019,"10,806 VND","10,806 VND","10,641 VND","10,782 VND","4,977,540"
09/05/2019,"10,759 VND","10,900 VND","10,712 VND","10,712 VND","22,661,980"
10/05/2019,"10,806 VND","10,876 VND","10,712 VND","10,876 VND","3,358,540"
13/05/2019,"10,923 VND","10,947 VND","10,853 VND","10,900 VND","16,304,780"
14/05/2019,"10,806 VND","10,900 VND","10,735 VND","10,806 VND","2,865,740"
15/05/2019,"10,853 VND","11,299 VND","10,806 VND","11,252 VND","6,620,440"
16/05/2019,"11,323 VND","11,323 VND","11,111 VND","11,158 VND","11,300,980"
17/05/2019,"11,135 VND","11,182 VND","11,064 VND","11,088 VND","3,898,560"
20/05/2019,"11,064 VND","11,229 VND","10,994 VND","11,205 VND","4,386,980"
21/05/2019,"11,205 VND","11,417 VND","11,205 VND","11,299 VND","6,764,188"
22/05/2019,"11,323 VND","11,370 VND","11,135 VND","11,135 VND","12,653,060"
23/05/2019,"11,111 VND","11,205 VND","11,064 VND","11,111 VND","2,974,460"
24/05/2019,"11,064 VND","11,135 VND","10,900 VND","10,900 VND","12,094,780"
27/05/2019,"10,900 VND","10,970 VND","10,853 VND","10,876 VND","1,776,280"
28/05/2019,"10,853 VND","10,994 VND","10,759 VND","10,853 VND","2,856,740"
29/05/2019,"10,829 VND","10,853 VND","10,688 VND","10,688 VND","4,146,840"
30/05/2019,"10,688 VND","10,829 VND","10,571 VND","10,782 VND","2,908,260"
31/05/2019,"10,782 VND","10,806 VND","10,618 VND","10,618 VND","2,905,400"
03/06/2019,"10,524 VND","10,571 VND","10,101 VND","10,101 VND","7,280,500"
04/06/2019,"10,219 VND","10,242 VND","9,913 VND","9,960 VND","7,669,900"
05/06/2019,"10,148 VND","10,242 VND","10,007 VND","10,007 VND","2,156,720"
06/06/2019,"10,007 VND","10,101 VND","9,819 VND","10,031 VND","2,754,700"
07/06/2019,"10,031 VND","10,148 VND","10,031 VND","10,148 VND","2,943,460"
10/06/2019,"10,242 VND","10,289 VND","10,007 VND","10,101 VND","4,865,660"
11/06/2019,"10,101 VND","10,195 VND","10,078 VND","10,101 VND","2,414,260"
12/06/2019,"10,101 VND","10,148 VND","10,007 VND","10,007 VND","1,344,880"
13/06/2019,"10,007 VND","10,007 VND","9,913 VND","9,937 VND","10,541,780"
14/06/2019,"9,960 VND","10,078 VND","9,960 VND","9,960 VND","9,488,200"
17/06/2019,"10,007 VND","10,031 VND","9,772 VND","9,772 VND","14,646,860"
18/06/2019,"9,819 VND","9,843 VND","9,443 VND","9,537 VND","36,522,200"
19/06/2019,"9,678 VND","9,702 VND","9,396 VND","9,443 VND","4,114,640"
20/06/2019,"9,490 VND","9,772 VND","9,467 VND","9,678 VND","16,990,100"
21/06/2019,"9,772 VND","9,913 VND","9,725 VND","9,772 VND","3,488,800"
24/06/2019,"9,725 VND","9,890 VND","9,702 VND","9,819 VND","3,828,860"
25/06/2019,"9,702 VND","9,819 VND","9,702 VND","9,749 VND","18,232,800"
26/06/2019,"9,655 VND","9,725 VND","9,537 VND","9,584 VND","18,506,120"
27/06/2019,"9,584 VND","9,631 VND","9,490 VND","9,490 VND","3,452,080"
28/06/2019,"9,561 VND","9,584 VND","9,373 VND","9,561 VND","29,995,540"
01/07/2019,"9,655 VND","9,913 VND","9,655 VND","9,866 VND","20,144,960"
02/07/2019,"9,913 VND","9,984 VND","9,749 VND","9,819 VND","6,056,140"
03/07/2019,"9,749 VND","9,866 VND","9,702 VND","9,772 VND","3,967,000"
04/07/2019,"9,796 VND","10,101 VND","9,772 VND","10,054 VND","8,793,200"
05/07/2019,"10,078 VND","10,148 VND","9,960 VND","10,031 VND","3,098,720"
08/07/2019,"10,007 VND","10,031 VND","9,655 VND","9,819 VND","13,218,800"
09/07/2019,"9,725 VND","9,819 VND","9,678 VND","9,725 VND","8,767,300"
10/07/2019,"9,796 VND","9,866 VND","9,725 VND","9,725 VND","1,813,600"
11/07/2019,"9,819 VND","9,913 VND","9,772 VND","9,866 VND","5,669,020"
12/07/2019,"9,913 VND","9,960 VND","9,725 VND","9,725 VND","5,539,520"
15/07/2019,"9,796 VND","9,984 VND","9,749 VND","9,937 VND","8,104,760"
16/07/2019,"9,937 VND","10,054 VND","9,913 VND","9,960 VND","5,309,500"
17/07/2019,"10,007 VND","10,007 VND","9,866 VND","9,913 VND","10,032,720"
18/07/2019,"9,843 VND","9,913 VND","9,772 VND","9,819 VND","5,765,260"
19/07/2019,"9,866 VND","10,007 VND","9,866 VND","9,960 VND","6,733,680"
22/07/2019,"9,937 VND","10,007 VND","9,843 VND","9,890 VND","11,935,000"
23/07/2019,"9,890 VND","9,937 VND","9,866 VND","9,890 VND","3,131,480"
24/07/2019,"9,913 VND","9,960 VND","9,819 VND","9,843 VND","4,285,460"
25/07/2019,"9,843 VND","9,866 VND","9,819 VND","9,819 VND","4,054,060"
26/07/2019,"9,796 VND","9,843 VND","9,749 VND","9,772 VND","2,531,020"
29/07/2019,"9,866 VND","9,890 VND","9,749 VND","9,772 VND","8,878,460"
30/07/2019,"9,819 VND","9,819 VND","9,702 VND","9,725 VND","3,202,640"
31/07/2019,"9,725 VND","9,725 VND","9,655 VND","9,655 VND","7,879,080"
01/08/2019,"9,678 VND","9,725 VND","9,631 VND","9,725 VND","2,384,360"
02/08/2019,"9,584 VND","9,725 VND","9,561 VND","9,655 VND","12,290,140"
05/08/2019,"9,584 VND","9,655 VND","9,537 VND","9,584 VND","5,307,880"
06/08/2019,"9,490 VND","9,537 VND","9,349 VND","9,514 VND","3,940,500"
07/08/2019,"9,537 VND","9,584 VND","9,420 VND","9,443 VND","5,793,924"
08/08/2019,"9,443 VND","9,514 VND","9,396 VND","9,490 VND","3,597,960"
09/08/2019,"9,490 VND","9,537 VND","9,443 VND","9,490 VND","1,857,160"
12/08/2019,"9,490 VND","9,561 VND","9,490 VND","9,514 VND","1,680,440"
13/08/2019,"9,490 VND","9,725 VND","9,467 VND","9,702 VND","4,725,040"
14/08/2019,"9,796 VND","9,843 VND","9,725 VND","9,796 VND","2,500,300"
15/08/2019,"9,584 VND","9,866 VND","9,584 VND","9,866 VND","4,210,300"
16/08/2019,"9,866 VND","10,336 VND","9,819 VND","10,289 VND","12,538,500"
19/08/2019,"10,289 VND","10,289 VND","10,101 VND","10,125 VND","3,950,920"
20/08/2019,"10,148 VND","10,195 VND","10,031 VND","10,125 VND","11,925,360"
21/08/2019,"10,172 VND","10,242 VND","10,054 VND","10,172 VND","4,125,700"
22/08/2019,"10,172 VND","10,266 VND","10,148 VND","10,172 VND","3,186,060"
23/08/2019,"10,148 VND","10,172 VND","10,078 VND","10,172 VND","2,609,340"
26/08/2019,"9,960 VND","10,031 VND","9,843 VND","9,984 VND","6,554,600"
27/08/2019,"10,031 VND","10,125 VND","10,007 VND","10,078 VND","3,610,680"
28/08/2019,"10,054 VND","10,101 VND","10,031 VND","10,054 VND","1,473,980"
29/08/2019,"10,054 VND","10,054 VND","9,913 VND","10,031 VND","1,897,420"
30/08/2019,"10,054 VND","10,101 VND","9,984 VND","10,101 VND","2,512,780"
03/09/2019,"10,148 VND","10,172 VND","10,054 VND","10,054 VND","2,273,260"
04/09/2019,"9,984 VND","10,242 VND","9,984 VND","10,195 VND","4,457,680"
05/09/2019,"10,195 VND","10,547 VND","10,195 VND","10,430 VND","8,834,640"
06/09/2019,"10,500 VND","10,547 VND","10,383 VND","10,430 VND","2,379,140"
09/09/2019,"10,430 VND","10,430 VND","10,172 VND","10,195 VND","34,164,120"
10/09/2019,"10,148 VND","10,289 VND","10,078 VND","10,078 VND","5,077,860"
11/09/2019,"10,101 VND","10,219 VND","10,054 VND","10,219 VND","23,256,880"
12/09/2019,"10,219 VND","10,336 VND","10,195 VND","10,313 VND","3,670,660"
13/09/2019,"10,289 VND","10,641 VND","10,289 VND","10,641 VND","11,092,460"
16/09/2019,"10,641 VND","10,688 VND","10,547 VND","10,618 VND","24,340,500"
17/09/2019,"10,571 VND","10,665 VND","10,547 VND","10,618 VND","17,445,666"
18/09/2019,"10,571 VND","10,688 VND","10,524 VND","10,618 VND","33,538,220"
19/09/2019,"10,618 VND","10,782 VND","10,571 VND","10,782 VND","6,572,720"
20/09/2019,"10,806 VND","10,900 VND","10,782 VND","10,876 VND","4,092,900"
23/09/2019,"10,900 VND","10,923 VND","10,641 VND","10,641 VND","11,742,240"
24/09/2019,"10,641 VND","10,712 VND","10,594 VND","10,618 VND","24,537,440"
25/09/2019,"10,618 VND","10,688 VND","10,524 VND","10,641 VND","15,206,500"
26/09/2019,"10,641 VND","10,876 VND","10,641 VND","10,853 VND","4,671,960"
27/09/2019,"10,853 VND","10,970 VND","10,806 VND","10,900 VND","4,399,760"
30/09/2019,"10,947 VND","11,041 VND","10,876 VND","10,970 VND","5,280,200"
01/10/2019,"10,970 VND","11,158 VND","10,876 VND","11,158 VND","4,744,640"
02/10/2019,"11,135 VND","11,252 VND","11,088 VND","11,158 VND","5,440,120"
03/10/2019,"11,041 VND","11,182 VND","10,970 VND","11,182 VND","4,304,080"
04/10/2019,"11,205 VND","11,252 VND","11,041 VND","11,088 VND","4,800,080"
07/10/2019,"11,111 VND","11,111 VND","10,876 VND","10,876 VND","11,686,260"
08/10/2019,"10,876 VND","11,064 VND","10,876 VND","11,064 VND","4,078,680"
09/10/2019,"11,088 VND","11,111 VND","11,017 VND","11,111 VND","2,575,940"
10/10/2019,"11,064 VND","11,158 VND","11,064 VND","11,111 VND","1,961,256"
11/10/2019,"11,088 VND","11,135 VND","11,064 VND","11,088 VND","1,718,800"
14/10/2019,"11,135 VND","11,370 VND","11,088 VND","11,229 VND","10,294,780"
15/10/2019,"11,205 VND","11,393 VND","11,088 VND","11,393 VND","9,641,460"
16/10/2019,"11,417 VND","11,534 VND","11,417 VND","11,487 VND","4,055,780"
17/10/2019,"11,464 VND","11,464 VND","11,346 VND","11,464 VND","5,023,580"
18/10/2019,"11,464 VND","11,558 VND","11,417 VND","11,464 VND","3,330,000"
21/10/2019,"11,464 VND","11,464 VND","11,088 VND","11,229 VND","6,512,180"
22/10/2019,"11,229 VND","11,276 VND","11,158 VND","11,276 VND","2,719,560"
23/10/2019,"11,276 VND","11,276 VND","11,182 VND","11,252 VND","2,420,020"
24/10/2019,"11,276 VND","11,276 VND","11,158 VND","11,205 VND","3,228,820"
25/10/2019,"11,229 VND","11,229 VND","11,135 VND","11,205 VND","9,555,140"
28/10/2019,"11,252 VND","11,276 VND","11,158 VND","11,182 VND","13,624,180"
29/10/2019,"11,182 VND","11,182 VND","11,064 VND","11,135 VND","3,365,180"
30/10/2019,"11,135 VND","11,276 VND","11,088 VND","11,182 VND","3,441,440"
31/10/2019,"11,182 VND","11,252 VND","11,135 VND","11,135 VND","2,699,060"
01/11/2019,"11,135 VND","11,205 VND","11,088 VND","11,158 VND","2,593,160"
04/11/2019,"11,229 VND","11,464 VND","11,158 VND","11,440 VND","20,019,300"
05/11/2019,"11,511 VND","11,698 VND","11,464 VND","11,628 VND","5,389,140"
06/11/2019,"11,675 VND","11,675 VND","11,581 VND","11,628 VND","5,741,000"
07/11/2019,"11,652 VND","11,652 VND","11,581 VND","11,652 VND","2,988,880"
08/11/2019,"11,652 VND","11,816 VND","11,652 VND","11,792 VND","14,674,440"
11/11/2019,"11,839 VND","11,980 VND","11,769 VND","11,816 VND","7,188,120"
12/11/2019,"11,769 VND","11,839 VND","11,745 VND","11,816 VND","2,821,860"
13/11/2019,"11,886 VND","11,886 VND","11,628 VND","11,628 VND","6,916,700"
14/11/2019,"11,605 VND","11,628 VND","11,487 VND","11,605 VND","3,779,960"
15/11/2019,"11,605 VND","11,722 VND","11,464 VND","11,698 VND","3,039,980"
18/11/2019,"11,698 VND","11,722 VND","11,487 VND","11,487 VND","2,695,620"
19/11/2019,"11,487 VND","11,652 VND","11,487 VND","11,628 VND","1,972,680"
20/11/2019,"11,652 VND","11,698 VND","11,417 VND","11,464 VND","2,371,800"
21/11/2019,"11,440 VND","11,464 VND","11,041 VND","11,041 VND","8,098,940"
22/11/2019,"11,276 VND","11,276 VND","10,712 VND","10,829 VND","4,697,380"
25/11/2019,"10,853 VND","10,947 VND","10,735 VND","10,947 VND","2,260,160"
26/11/2019,"10,994 VND","11,041 VND","10,947 VND","11,017 VND","5,646,180"
27/11/2019,"11,041 VND","11,088 VND","10,970 VND","10,970 VND","8,132,060"
28/11/2019,"10,970 VND","10,970 VND","10,759 VND","10,759 VND","11,175,280"
29/11/2019,"10,806 VND","10,853 VND","10,688 VND","10,759 VND","6,719,800"
02/12/2019,"10,782 VND","10,829 VND","10,618 VND","10,665 VND","4,602,220"
03/12/2019,"10,665 VND","10,688 VND","10,500 VND","10,594 VND","14,217,300"
04/12/2019,"10,594 VND","11,017 VND","10,594 VND","11,017 VND","3,805,480"
05/12/2019,"11,017 VND","11,064 VND","10,853 VND","10,923 VND","1,177,500"
06/12/2019,"10,923 VND","10,994 VND","10,853 VND","10,876 VND","1,283,240"
09/12/2019,"10,876 VND","10,923 VND","10,665 VND","10,712 VND","1,849,640"
10/12/2019,"10,688 VND","10,712 VND","10,477 VND","10,524 VND","23,722,500"
11/12/2019,"10,571 VND","10,688 VND","10,571 VND","10,665 VND","22,905,580"
12/12/2019,"10,641 VND","10,947 VND","10,641 VND","10,876 VND","10,928,660"
13/12/2019,"10,900 VND","10,923 VND","10,806 VND","10,876 VND","8,354,960"
16/12/2019,"10,806 VND","10,876 VND","10,759 VND","10,876 VND","22,943,740"
17/12/2019,"10,853 VND","10,876 VND","10,688 VND","10,688 VND","16,873,900"
18/12/2019,"10,665 VND","10,712 VND","10,618 VND","10,665 VND","21,942,260"
19/12/2019,"10,618 VND","10,688 VND","10,477 VND","10,500 VND","25,693,180"
20/12/2019,"10,524 VND","10,712 VND","10,524 VND","10,712 VND","18,117,000"
23/12/2019,"10,806 VND","10,923 VND","10,759 VND","10,853 VND","4,829,460"
24/12/2019,"10,876 VND","10,876 VND","10,735 VND","10,806 VND","17,481,700"
25/12/2019,"10,806 VND","10,876 VND","10,782 VND","10,806 VND","23,394,620"
26/12/2019,"10,806 VND","10,829 VND","10,759 VND","10,829 VND","9,981,360"
27/12/2019,"10,829 VND","10,900 VND","10,782 VND","10,900 VND","2,406,500"
30/12/2019,"11,041 VND","11,252 VND","10,970 VND","11,017 VND","6,573,600"
31/12/2019,"11,017 VND","11,158 VND","11,017 VND","11,064 VND","1,923,080"
02/01/2020,"11,064 VND","11,205 VND","11,041 VND","11,182 VND","2,820,080"
03/01/2020,"11,229 VND","11,252 VND","11,111 VND","11,111 VND","1,513,400"
06/01/2020,"10,994 VND","10,994 VND","10,829 VND","10,829 VND","2,325,980"
07/01/2020,"10,829 VND","10,900 VND","10,806 VND","10,900 VND","4,920,200"
08/01/2020,"10,712 VND","10,829 VND","10,618 VND","10,688 VND","3,420,780"
09/01/2020,"10,806 VND","10,853 VND","10,735 VND","10,829 VND","4,019,680"
10/01/2020,"10,806 VND","11,041 VND","10,806 VND","10,876 VND","7,358,220"
13/01/2020,"10,806 VND","10,876 VND","10,688 VND","10,782 VND","1,784,720"
14/01/2020,"10,782 VND","10,829 VND","10,759 VND","10,759 VND","4,561,960"
15/01/2020,"10,759 VND","10,806 VND","10,712 VND","10,759 VND","11,830,560"
16/01/2020,"10,759 VND","10,970 VND","10,759 VND","10,947 VND","12,958,440"
17/01/2020,"10,994 VND","11,088 VND","10,947 VND","10,994 VND","3,750,320"
20/01/2020,"10,947 VND","11,017 VND","10,900 VND","10,970 VND","4,723,460"
21/01/2020,"11,017 VND","11,299 VND","10,994 VND","11,299 VND","15,183,680"
22/01/2020,"11,393 VND","11,393 VND","11,252 VND","11,370 VND","4,618,300"
30/01/2020,"11,041 VND","11,182 VND","10,688 VND","10,759 VND","8,337,020"
31/01/2020,"10,641 VND","10,759 VND","10,148 VND","10,148 VND","12,736,520"
03/02/2020,"9,631 VND","10,383 VND","9,561 VND","10,078 VND","8,517,500"
04/02/2020,"10,101 VND","10,289 VND","9,960 VND","10,219 VND","4,393,140"
05/02/2020,"10,336 VND","10,406 VND","10,125 VND","10,219 VND","4,916,420"
06/02/2020,"10,172 VND","10,547 VND","10,101 VND","10,500 VND","5,354,300"
07/02/2020,"10,500 VND","10,500 VND","10,289 VND","10,406 VND","3,970,880"
10/02/2020,"10,289 VND","10,336 VND","10,172 VND","10,266 VND","4,267,600"
11/02/2020,"10,266 VND","10,477 VND","10,266 VND","10,406 VND","2,706,720"
12/02/2020,"10,477 VND","10,782 VND","10,430 VND","10,641 VND","52,284,480"
13/02/2020,"10,594 VND","10,641 VND","10,524 VND","10,618 VND","3,810,820"
14/02/2020,"10,853 VND","10,994 VND","10,759 VND","10,947 VND","8,791,480"
17/02/2020,"10,994 VND","11,229 VND","10,923 VND","11,182 VND","12,786,740"
18/02/2020,"11,182 VND","11,323 VND","11,064 VND","11,135 VND","8,537,540"
19/02/2020,"11,088 VND","11,135 VND","11,017 VND","11,111 VND","4,401,380"
20/02/2020,"11,135 VND","11,229 VND","10,947 VND","11,041 VND","5,901,900"
21/02/2020,"10,994 VND","11,135 VND","10,853 VND","10,853 VND","6,091,760"
24/02/2020,"10,688 VND","10,688 VND","10,101 VND","10,101 VND","16,367,140"
25/02/2020,"9,866 VND","10,453 VND","9,772 VND","10,430 VND","6,473,800"
26/02/2020,"10,219 VND","10,571 VND","10,148 VND","10,500 VND","4,487,000"
27/02/2020,"10,500 VND","10,688 VND","10,430 VND","10,688 VND","6,526,060"
28/02/2020,"10,336 VND","10,524 VND","10,266 VND","10,453 VND","4,866,300"
02/03/2020,"10,524 VND","10,641 VND","10,383 VND","10,571 VND","5,134,700"
03/03/2020,"10,735 VND","10,806 VND","10,571 VND","10,571 VND","5,210,040"
04/03/2020,"10,500 VND","10,618 VND","10,430 VND","10,594 VND","3,873,240"
05/03/2020,"10,594 VND","10,735 VND","10,477 VND","10,477 VND","4,198,160"
06/03/2020,"10,430 VND","10,430 VND","10,242 VND","10,360 VND","17,079,840"
09/03/2020,"9,702 VND","9,866 VND","9,655 VND","9,655 VND","17,923,166"
10/03/2020,"9,584 VND","9,866 VND","9,443 VND","9,725 VND","24,315,720"
11/03/2020,"9,772 VND","9,843 VND","9,068 VND","9,068 VND","12,253,100"
12/03/2020,"8,457 VND","8,692 VND","8,433 VND","8,433 VND","10,330,320"
13/03/2020,"7,846 VND","8,715 VND","7,846 VND","8,574 VND","26,273,580"
16/03/2020,"8,574 VND","8,574 VND","8,081 VND","8,198 VND","13,661,900"
17/03/2020,"7,987 VND","8,433 VND","7,916 VND","8,433 VND","27,296,320"
18/03/2020,"8,504 VND","8,551 VND","8,316 VND","8,433 VND","37,633,040"
19/03/2020,"8,269 VND","8,363 VND","8,057 VND","8,104 VND","6,873,420"
20/03/2020,"8,198 VND","8,222 VND","8,057 VND","8,151 VND","5,676,280"
23/03/2020,"7,611 VND","7,987 VND","7,588 VND","7,588 VND","11,505,380"
24/03/2020,"7,752 VND","7,752 VND","7,517 VND","7,564 VND","6,714,000"
25/03/2020,"7,752 VND","7,846 VND","7,658 VND","7,799 VND","10,200,540"
26/03/2020,"7,799 VND","7,799 VND","7,564 VND","7,564 VND","34,761,980"
27/03/2020,"7,588 VND","7,611 VND","7,329 VND","7,517 VND","16,854,660"
30/03/2020,"7,094 VND","7,282 VND","7,000 VND","7,000 VND","6,987,460"
31/03/2020,"7,047 VND","7,282 VND","6,577 VND","7,047 VND","5,497,700"
01/04/2020,"7,047 VND","7,329 VND","6,742 VND","7,282 VND","58,512,960"
03/04/2020,"7,282 VND","7,494 VND","7,282 VND","7,447 VND","4,267,020"
06/04/2020,"7,611 VND","7,963 VND","7,564 VND","7,963 VND","10,961,740"
07/04/2020,"7,987 VND","8,081 VND","7,893 VND","7,963 VND","9,079,980"
08/04/2020,"7,893 VND","7,893 VND","7,658 VND","7,846 VND","2,953,600"
09/04/2020,"8,034 VND","8,057 VND","7,916 VND","7,940 VND","4,539,660"
10/04/2020,"7,846 VND","7,963 VND","7,822 VND","7,869 VND","3,097,800"
13/04/2020,"7,869 VND","8,269 VND","7,869 VND","8,081 VND","7,100,660"
14/04/2020,"8,151 VND","8,151 VND","7,940 VND","8,057 VND","2,949,700"
15/04/2020,"8,128 VND","8,245 VND","8,081 VND","8,245 VND","11,250,160"
16/04/2020,"8,222 VND","8,245 VND","8,081 VND","8,245 VND","4,846,300"
17/04/2020,"8,363 VND","8,386 VND","8,222 VND","8,339 VND","9,321,940"
20/04/2020,"8,410 VND","8,433 VND","8,222 VND","8,316 VND","7,140,780"
21/04/2020,"8,128 VND","8,175 VND","7,846 VND","7,916 VND","6,090,040"
22/04/2020,"7,635 VND","8,081 VND","7,635 VND","7,940 VND","3,963,900"
23/04/2020,"8,081 VND","8,128 VND","7,963 VND","7,963 VND","10,890,580"
24/04/2020,"8,034 VND","8,057 VND","7,940 VND","8,034 VND","1,703,540"
27/04/2020,"8,034 VND","8,104 VND","7,987 VND","8,010 VND","4,954,108"
28/04/2020,"8,057 VND","8,057 VND","7,916 VND","8,034 VND","4,708,320"
29/04/2020,"8,034 VND","8,245 VND","7,987 VND","8,081 VND","7,850,020"
04/05/2020,"8,081 VND","8,316 VND","8,057 VND","8,175 VND","4,837,680"
05/05/2020,"8,222 VND","8,269 VND","8,151 VND","8,175 VND","2,132,000"
06/05/2020,"8,245 VND","8,245 VND","8,104 VND","8,245 VND","3,350,200"
07/05/2020,"8,245 VND","8,316 VND","8,198 VND","8,316 VND","5,679,080"
08/05/2020,"8,316 VND","8,880 VND","8,316 VND","8,880 VND","15,520,940"
11/05/2020,"9,161 VND","9,490 VND","9,091 VND","9,490 VND","13,731,360"
12/05/2020,"9,443 VND","9,749 VND","9,208 VND","9,678 VND","9,832,720"
13/05/2020,"9,537 VND","9,725 VND","9,302 VND","9,678 VND","9,859,480"
14/05/2020,"9,584 VND","9,678 VND","9,443 VND","9,631 VND","10,679,180"
15/05/2020,"9,678 VND","9,678 VND","9,396 VND","9,514 VND","7,070,160"
18/05/2020,"9,420 VND","9,749 VND","9,349 VND","9,702 VND","9,739,220"
19/05/2020,"10,031 VND","10,054 VND","9,843 VND","10,007 VND","8,401,860"
20/05/2020,"9,866 VND","9,960 VND","9,843 VND","9,890 VND","4,119,700"
21/05/2020,"9,890 VND","10,336 VND","9,796 VND","10,336 VND","7,078,820"
22/05/2020,"10,148 VND","10,148 VND","9,890 VND","9,890 VND","7,345,560"
25/05/2020,"9,913 VND","10,007 VND","9,843 VND","9,890 VND","5,081,860"
26/05/2020,"9,913 VND","10,007 VND","9,866 VND","9,937 VND","5,660,900"
27/05/2020,"9,960 VND","10,054 VND","9,819 VND","9,819 VND","5,346,980"
28/05/2020,"9,819 VND","9,960 VND","9,772 VND","9,819 VND","3,681,440"
29/05/2020,"9,796 VND","9,843 VND","9,725 VND","9,725 VND","3,295,920"
01/06/2020,"9,772 VND","10,007 VND","9,772 VND","10,007 VND","5,376,020"
02/06/2020,"10,101 VND","10,101 VND","9,913 VND","9,937 VND","11,595,500"
03/06/2020,"9,937 VND","10,078 VND","9,937 VND","10,031 VND","4,276,700"
04/06/2020,"10,054 VND","10,078 VND","9,960 VND","9,960 VND","4,433,520"
05/06/2020,"9,984 VND","10,078 VND","9,913 VND","10,078 VND","9,559,562"
08/06/2020,"10,125 VND","10,289 VND","10,125 VND","10,195 VND","25,715,720"
09/06/2020,"10,195 VND","10,242 VND","10,101 VND","10,125 VND","19,405,240"
10/06/2020,"10,031 VND","10,313 VND","9,984 VND","10,266 VND","5,223,400"
11/06/2020,"10,289 VND","10,289 VND","9,819 VND","9,819 VND","20,181,620"
12/06/2020,"9,678 VND","9,984 VND","9,631 VND","9,937 VND","7,903,580"
15/06/2020,"9,913 VND","9,913 VND","9,420 VND","9,443 VND","4,734,440"
16/06/2020,"9,631 VND","9,678 VND","9,537 VND","9,678 VND","38,301,120"
17/06/2020,"9,678 VND","9,678 VND","9,514 VND","9,537 VND","3,347,800"
18/06/2020,"9,537 VND","9,608 VND","9,490 VND","9,490 VND","24,551,940"
19/06/2020,"9,490 VND","9,631 VND","9,490 VND","9,631 VND","24,351,760"
22/06/2020,"9,843 VND","9,843 VND","9,631 VND","9,749 VND","2,443,480"
23/06/2020,"9,749 VND","9,772 VND","9,678 VND","9,702 VND","6,382,260"
